Ministry,Year,PositionTitle,PositionClass,BaseSalary,CashBenefits,NonCashBenefits,Severance
Advanced Education,2017,"Director, Human Resources",Senior Manager Zone 2,133076.32,0,33627.92,0
Advanced Education,2017,"ADM, ASA",Assistant Deputy Minister,197737.28,0,48833.64,0
Advanced Education,2017,"Exec Dir, Campus Alberta",Executive Manager 1,143411.84,11031.68,35993.9,0
Advanced Education,2017,Mgr. Financial Data & Acctblty,Manager Zone 2,107152.5,0,25550.79,0
Advanced Education,2017,"Manager, IPS",Manager Zone 2,107152.5,0,24257.03,0
Advanced Education,2017,"Dir, Governance & Legislation",Senior Manager Zone 2,133317.86,0,32967.46,0
Advanced Education,2017,"Director, Business Integration",Senior Manager Zone 2,133317.86,0,10732.5,0
Advanced Education,2017,"Manager, IPS",Manager Zone 2,107152.5,0,29330.67,0
Advanced Education,2017,Dir Fin. Reporting & Account.,Senior Manager Zone 2,133317.86,150,31675.26,0
Advanced Education,2017,"Mgr, Industry Prog & Standards",Manager Zone 2,107152.5,0,24013.67,0
Agriculture and Forestry,2017,"Director, Policy Coord & Res.",Senior Manager Zone 2,133317.86,0,33510.08,0
Agriculture and Forestry,2017,"Manager, Forest Biometrics",Manager Zone 2,107152.5,0,25550.79,0
Agriculture and Forestry,2017,Senior Policy Researcher,Manager Zone 2,107152.5,0,24656.13,0
Agriculture and Forestry,2017,Winter Wheat/Triticale Breeder,Scientific 4,117240.37,0,24315.54,0
Agriculture and Forestry,2017,Dairy Research Scientist,Scientific 5,128583.52,0,27676.04,0
Agriculture and Forestry,2017,Scientist,Scientific 4,119838.68,0,25099.75,0
Agriculture and Forestry,2017,"Director, Emergency Planning",Senior Manager Zone 1,118938.56,0,28815.12,0
Agriculture and Forestry,2017,"Director, Ag-Info Centre",Senior Manager Zone 1,115724.7,0,26232.11,0
Agriculture and Forestry,2017,"Director, Env.Extension & Prog",Senior Manager Zone 2,133317.86,0,33510.08,0
Agriculture and Forestry,2017,"Director, Programs",Senior Manager Zone 2,123798.22,0,28610.26,0
Agriculture and Forestry,2017,"Director, Intl Relations & Mkt",Senior Manager Zone 2,133317.86,200,33510.07,0
Agriculture and Forestry,2017,Pulse & Special Crops Res Sci,Scientific 5,128583.52,2131.69,26701.9,0
Agriculture and Forestry,2017,Forest Area Manager,Senior Manager Zone 2,127407.02,7050,29273.58,0
Agriculture and Forestry,2017,Beef Research Scientist,Scientific 5,128583.52,0,10611.18,0
Agriculture and Forestry,2017,Executive Director HR Services,Executive Manager 1,164060.78,100,38320.52,0
Agriculture and Forestry,2017,"Manager, Provincial WRHS & SC",Senior Manager Zone 1,118938.56,4900,27717.41,0
Agriculture and Forestry,2017,Monogastrics Research Scientis,Scientific 5,128583.52,0,26701.89,0
Agriculture and Forestry,2017,"Director, Irrigation Mgmt",Senior Manager Zone 1,118938.56,0,6834.65,0
Agriculture and Forestry,2017,Inspection Operations Manager,Senior Manager Zone 1,116906.4,0,26822.23,0
Agriculture and Forestry,2017,"Section Head, Chemistry",Senior Manager Zone 1,118938.56,0,27919.17,0
Agriculture and Forestry,2017,"Exec Dir, Extension & Comm Ser",Executive Manager 1,143983.32,1656,34423.22,0
Agriculture and Forestry,2017,"Director, Agri-Food Labs",Senior Manager Zone 2,134261.34,0,31322.4,0
Agriculture and Forestry,2017,Exec Director Wildfire Mgt. Br,Executive Manager 1,145740.14,4550,33864.59,0
Agriculture and Forestry,2017,"Dir,Forest Tenure & Fibre Mngm",Senior Manager Zone 2,120037.84,0,30565.84,0
Agriculture and Forestry,2017,Executive Advisor,Manager Zone 2,107991.8,0,26022.09,0
Agriculture and Forestry,2017,"Manager,Planning & Measurement",Manager Zone 2,108537.24,0,28938.86,0
Agriculture and Forestry,2017,"ED, Econ & Competitiveness Br",Executive Manager 1,148915,0,30961.28,0
Agriculture and Forestry,2017,Assistant Deputy Minister,Assistant Deputy Minister,199115.8,0,48271.43,0
Agriculture and Forestry,2017,"ED,Livestock Research & Ext.",Executive Manager 1,145909.66,250,32683.9,0
Agriculture and Forestry,2017,Researcher,Senior Manager Zone 1,118938.56,8950,27717.41,0
Agriculture and Forestry,2017,"Director, Program Delivery",Senior Manager Zone 1,118938.56,0,30867.31,0
Agriculture and Forestry,2017,"Section Head, Research",Senior Manager Zone 1,118938.56,0,27717.41,0
Agriculture and Forestry,2017,"ED, Rural Development Br",Executive Manager 1,145730.78,350,15962.75,0
Agriculture and Forestry,2017,Res Scientist-Pulse Pathology,Scientific 5,128583.52,0,21554.14,0
Agriculture and Forestry,2017,Genetics Tree Improve Unit Mgr,Senior Manager Zone 1,114711.74,0,25386.43,0
Agriculture and Forestry,2017,"ED, Policy Strat Intra-Gov Aff",Executive Manager 1,141324.04,0,31831.1,0
Agriculture and Forestry,2017,Dir. Corp Planning & Reporting,Senior Manager Zone 1,118938.56,0,30758.17,0
Agriculture and Forestry,2017,Enviromental Programs Manager,Manager Zone 2,107152.5,250,27903.02,0
Agriculture and Forestry,2017,Chief of Staff,Ministerial EA,119540.46,0,27214.67,0
Agriculture and Forestry,2017,Research Scientist,Scientific 4,119838.68,0,25099.75,0
Agriculture and Forestry,2017,Livestock Welfare Research Sci,Scientific 4,119838.68,0,25099.75,0
Agriculture and Forestry,2017,Dir.Workplace Health & Safety,Senior Manager Zone 1,118938.56,0,29103.47,0
Agriculture and Forestry,2017,"Manager, Industry  Dev.",Manager Zone 2,107152.5,0,24971.65,0
Agriculture and Forestry,2017,Assistant Deputy Minister,Assistant Deputy Minister,200404.88,0,47935.62,0
Agriculture and Forestry,2017,"Director, Strategic Services",Senior Manager Zone 1,118938.56,0,30053.23,0
Agriculture and Forestry,2017,"General Manager, AEPA",Manager Zone 2,107152.5,2922.39,26256.44,0
Agriculture and Forestry,2017,Forest Hydrology Specialist,Scientific 4,119838.68,0,25099.75,0
Agriculture and Forestry,2017,"Director, Meat Inspection",Senior Manager Zone 2,108136.34,593.17,27439.18,0
Agriculture and Forestry,2017,Farmers' Advocate,Executive Manager 1,205076.04,0,5569.37,0
Agriculture and Forestry,2017,"Manager, Animal Health Program",Senior Manager Zone 1,118938.56,0,28418.39,0
Agriculture and Forestry,2017,Senior Project Manager,Manager Zone 2,107152.5,0,25307.43,0
Agriculture and Forestry,2017,"Director, CDC, South",Senior Manager Zone 2,122772,0,27868.39,0
Agriculture and Forestry,2017,"Manager, Workforce Development",Manager Zone 2,107152.5,0,25550.79,0
Agriculture and Forestry,2017,Technology Develop Engineer,Engineering & Related Level 2,108254.64,150,21824.5,0
Agriculture and Forestry,2017,Executive Advisor,Manager Zone 2,107152.5,0,27319.75,0
Agriculture and Forestry,2017,"Director, Crop Extension",Senior Manager Zone 2,122772,0,28422.71,0
Agriculture and Forestry,2017,"Director, CDC, North",Senior Manager Zone 2,127858.38,0,29355.87,0
Agriculture and Forestry,2017,"Sr Scientist, Bio-Processing",Scientific 4,119838.68,0,25652.27,0
Agriculture and Forestry,2017,"Section Head, Animal Welfare",Senior Manager Zone 1,118938.56,200,30596.39,0
Agriculture and Forestry,2017,Sr Reforestation Specialist,Scientific 4,119838.68,0,25099.75,0
Agriculture and Forestry,2017,"Dir, Nat.Trace.Initiatives",Senior Manager Zone 2,133317.86,553.78,23014.92,0
Agriculture and Forestry,2017,Forest Area Manager,Senior Manager Zone 2,116388.74,5100,28194.6,0
Agriculture and Forestry,2017,Sr Mgr Hinton Training Centre,Senior Manager Zone 1,118938.56,200,26423.65,0
Agriculture and Forestry,2017,"Sr.Food Scientist,Sensory Eval",Scientific 4,112891.15,3652.54,23532.42,0
Agriculture and Forestry,2017,Mgr Timber Disposition Revenue,Manager Zone 2,107152.5,0,9383.19,0
Agriculture and Forestry,2017,Process Operations Manager,Manager Zone 2,107152.5,21623.11,22146.46,0
Agriculture and Forestry,2017,Bus Development Specialist,Manager Zone 2,113581.66,0,26656.54,0
Agriculture and Forestry,2017,Senior Policy Advisor,Senior Manager Zone 2,133317.86,350,30360.18,0
Agriculture and Forestry,2017,"ED, Food Process Dev. Centre",Executive Manager 1,164060.78,3155.02,36934.46,0
Agriculture and Forestry,2017,"Director, Operations",Senior Manager Zone 2,133317.86,0,30360.18,0
Agriculture and Forestry,2017,"Section Head, Forestry Policy",Senior Manager Zone 2,130384.28,0,29821.05,0
Agriculture and Forestry,2017,"Director, Agri. Grant Programs",Senior Manager Zone 2,132997.28,0,30300.69,0
Agriculture and Forestry,2017,Senior Financial Officer,Executive Manager 1,164060.78,0,8572.17,0
Agriculture and Forestry,2017,Senior Crops Scientist,Scientific 4,119838.68,4135.67,25099.75,0
Agriculture and Forestry,2017,Research Scientist,Scientific 4,119838.68,0,24788.17,0
Agriculture and Forestry,2017,"ED, Animal Health & Assurance",Executive Manager 1,183302.1,0,41588.6,0
Agriculture and Forestry,2017,Water Management Engineer,Engineering & Related Level 2,108254.64,200,22070.98,0
Agriculture and Forestry,2017,"Director, Pol, Intergov&Reg Co",Senior Manager Zone 2,133317.86,1912.42,31442.29,0
Agriculture and Forestry,2017,Biology Section Head,Senior Manager Zone 1,114709.92,0,25355.32,0
Agriculture and Forestry,2017,Mgr.Rural Initiatives Unit,Manager Zone 2,107152.5,0,28700.69,0
Agriculture and Forestry,2017,Senior Biometrician,Scientific 5,128583.52,0,25675.43,0
Agriculture and Forestry,2017,"Research Scientist, Plant Path",Scientific 5,128583.52,0,24868.55,0
Agriculture and Forestry,2017,"Director, Fin Plan & Policy",Senior Manager Zone 2,114046.14,0,27782.96,0
Agriculture and Forestry,2017,"Director, Stats & Data Dev't",Senior Manager Zone 1,118938.56,0,30867.31,0
Agriculture and Forestry,2017,Investment Attraction Manager,Manager Zone 2,107152.5,0,26524.94,0
Agriculture and Forestry,2017,Watershed Management Engineer,Engineering & Related Level 2,108254.64,0,23069.36,0
Agriculture and Forestry,2017,Forest Area Manager,Senior Manager Zone 2,110815.38,12375.88,27074.72,0
Agriculture and Forestry,2017,"Director, Livestock Research",Senior Manager Zone 2,129119.38,0,32738.76,0
Agriculture and Forestry,2017,Forest Area Manager,Senior Manager Zone 2,127407.02,9450,29273.58,0
Agriculture and Forestry,2017,Dir. Local Market Expansion,Senior Manager Zone 2,121708.34,0,28226.54,0
Agriculture and Forestry,2017,Senior Research Analyst,Senior Manager Zone 2,130247,11762.31,29795.08,0
Agriculture and Forestry,2017,Plant Breeder,Scientific 5,128583.52,0,26701.89,0
Agriculture and Forestry,2017,"Director, Water Quality",Senior Manager Zone 2,122140.71,150,26714.64,0
Agriculture and Forestry,2017,Veterinary Epidemiologist,Veterinarian Level 3,135734.13,0,26726.13,0
Agriculture and Forestry,2017,"Director, Wildfire Operations",Senior Manager Zone 2,133317.86,14529.7,33006.18,0
Agriculture and Forestry,2017,Veterinary Toxicologist,Veterinarian Level 3,136261.6,590.43,27738.83,0
Agriculture and Forestry,2017,"Dir, Pol. & Reg. Affairs Sec.",Senior Manager Zone 2,115106.42,0,29267.84,0
Agriculture and Forestry,2017,Animal Health & Welfare Vet,Veterinarian Level 3,122618.86,0,23972.66,0
Agriculture and Forestry,2017,"Lead, AOPA/CFO Extension",Engineering & Related Level 4,121596.54,0,24411.77,0
Agriculture and Forestry,2017,Public Health Veterinarian,Veterinarian Level 2,122641.74,0,25072.05,0
Agriculture and Forestry,2017,Exec. Dir. Crop Res. & Ext.,Executive Manager 1,141455.86,0,34110.54,0
Agriculture and Forestry,2017,"Director, Envr & Research Brc",Senior Manager Zone 2,127407.28,0,10053.66,0
Agriculture and Forestry,2017,"Director, Domestic&Int'l Trade",Senior Manager Zone 2,133317.86,200,30360.18,0
Agriculture and Forestry,2017,Forest Area Manager,Senior Manager Zone 2,110680.96,27876.45,26199.42,0
Agriculture and Forestry,2017,Sr. Bio Industrial Engineer,Engineering & Related Level 2,113667.32,1957.2,21727.15,0
Agriculture and Forestry,2017,Chief Provincial Veterinarian,Senior Manager Zone 2,160518.54,0,36870.83,0
Agriculture and Forestry,2017,Director Wildfire Prev Sect,Senior Manager Zone 2,133317.86,5550,33006.19,0
Agriculture and Forestry,2017,Senior Development Officer,Manager Zone 2,107152.5,0,25550.79,0
Agriculture and Forestry,2017,Investment Attraction Manager,Manager Zone 2,107152.5,0,24996.47,0
Agriculture and Forestry,2017,"ED, Forest Tenure,Trade&Policy",Executive Manager 1,144083.68,0,34984.33,0
Agriculture and Forestry,2017,Commercialization Manager,Manager Zone 2,107152.5,0,24953.67,0
Agriculture and Forestry,2017,Stakeholder Relations Manager,Ministerial EA,129502.1,0,29658.1,0
Agriculture and Forestry,2017,Dir. Field Crop Develop Centre,Senior Manager Zone 2,127616.58,0,29312.24,0
Agriculture and Forestry,2017,Surveillance Veterinarian,Veterinarian Level 3,136258.2,0,27738.05,0
Agriculture and Forestry,2017,"Director,  Insp & Investn",Senior Manager Zone 2,129046.58,0,32835.89,0
Agriculture and Forestry,2017,Senior Trade Policy Analyst,Manager Zone 2,107152.5,0,28146.37,0
Agriculture and Forestry,2017,"ADM, Forestry Division",Assistant Deputy Minister,199639.44,26874.54,47561.47,0
Agriculture and Forestry,2017,"Director, 4-H",Senior Manager Zone 2,126074.78,150,30072.53,0
Agriculture and Forestry,2017,"Director, GF, Coord & Prg Ply",Senior Manager Zone 2,133317.86,0,31935.26,0
Agriculture and Forestry,2017,"Director, Business Services",Senior Manager Zone 2,133317.86,28437.01,31859.57,0
Agriculture and Forestry,2017,"General Mgr, Marketing Council",Executive Manager 1,193615.76,0,46047.22,0
Agriculture and Forestry,2017,"Manager, Wildfire Operations",Senior Manager Zone 1,114481.12,11756.24,26898.66,0
Agriculture and Forestry,2017,Food Safety Manager,Manager Zone 2,107976.75,150,25279.64,0
Agriculture and Forestry,2017,Feed Scientist,Scientific 4,119838.68,0,24428.45,0
Agriculture and Forestry,2017,Dir. Livestock & Farm Business,Senior Manager Zone 2,122772,0,28422.71,0
Agriculture and Forestry,2017,"ADM, Corporate Services",Assistant Deputy Minister,146942.71,5902.32,35753.25,0
Agriculture and Forestry,2017,Dir HR Consulting Services,Senior Manager Zone 1,119487.51,0,27356.05,0
Agriculture and Forestry,2017,AOPA Engineer,Engineering & Related Level 2,108254.64,0,22070.98,0
Agriculture and Forestry,2017,"Dir, Eng. & Climate Services",Senior Manager Zone 2,115962.6,0,26616.87,0
Agriculture and Forestry,2017,Forest Area Manager,Senior Manager Zone 2,116388.74,6700,6814.25,0
Agriculture and Forestry,2017,"Director, BWM & Ir Secretariat",Senior Manager Zone 2,115896.04,1572.74,26880.73,0
Agriculture and Forestry,2017,"Director, Strat Res & Dev",Senior Manager Zone 2,133317.86,0,32839.56,0
Agriculture and Forestry,2017,Barley Breeder,Scientific 4,119838.68,0,25099.75,0
Agriculture and Forestry,2017,Soil/Water Research Scientist,Scientific 4,119838.68,0,25099.75,0
Agriculture and Forestry,2017,"Unit Head, Pulse Crops",Manager Zone 2,107152.5,300,25550.8,0
Agriculture and Forestry,2017,"Manager, Pathology Unit",Senior Manager Zone 1,148673.2,0,34090.72,0
Agriculture and Forestry,2017,"Director,Investment Attraction",Senior Manager Zone 2,133317.86,0,33510.08,0
Agriculture and Forestry,2017,Bus Development Specialist,Manager Zone 2,107152.5,0,25509.19,0
Agriculture and Forestry,2017,"Director, Animal Health Sect",Senior Manager Zone 2,154620.2,0,35489.46,0
Agriculture and Forestry,2017,"Director, Traceability",Senior Manager Zone 2,133317.86,0,30452.48,0
Agriculture and Forestry,2017,Manager Retail Domestic Market,Manager Zone 2,107152.5,0,26524.94,0
Agriculture and Forestry,2017,"Section Head, Epidemiology",Senior Manager Zone 1,147176.66,0,32091.77,0
Agriculture and Forestry,2017,"Food Scientist, Meat",Scientific 5,128583.52,2282.83,26701.9,0
Agriculture and Forestry,2017,"Director, Forest Resource Mgmt",Senior Manager Zone 2,130979.42,0,32576.12,0
Agriculture and Forestry,2017,"Director, Business Services",Senior Manager Zone 2,133317.86,0,32696,0
Agriculture and Forestry,2017,"Director, Resource Analysis",Senior Manager Zone 2,131082.12,0,6933.49,0
Agriculture and Forestry,2017,"ED, Information Technology",Executive Manager 1,154428.3,0,36073.08,0
Agriculture and Forestry,2017,Chemical Engineer,Engineering & Related Level 2,108254.64,0,22312.24,0
Agriculture and Forestry,2017,Dir. Bio-Ind. Opportunities,Senior Manager Zone 2,133317.86,5640.37,30941.77,0
Agriculture and Forestry,2017,Director Social Lcns & Engmnt,Senior Manager Zone 1,117633.1,0,27061.07,0
Agriculture and Forestry,2017,Beef Research Scientist,Scientific 4,119838.68,0,25099.75,0
Agriculture and Forestry,2017,Veterinary Pathologist,Veterinarian Level 3,120230,0,24927.07,0
Agriculture and Forestry,2017,"Mgr, Organizat Effectiveness",Manager Zone 2,107152.5,0,25013.11,0
Agriculture and Forestry,2017,"ED, Environ Stewartship Br.",Executive Manager 1,164060.78,0,39551.35,0
Agriculture and Forestry,2017,"ED, Corp., Innov & Planning",Executive Manager 1,148302.7,1294.99,28407.2,0
Agriculture and Forestry,2017,Senior Geneticist,Scientific 4,119838.68,0,25099.75,0
Agriculture and Forestry,2017,Assistant Deputy Minister,Assistant Deputy Minister,182669.91,0,44065.2,0
Agriculture and Forestry,2017,"Director, Forest Health&Adapt",Senior Manager Zone 2,116057.24,200,31134.15,0
Agriculture and Forestry,2017,"Director, LP&P Implementation",Senior Manager Zone 1,115902.48,100,29489.88,0
Agriculture and Forestry,2017,Forest Area Manager,Senior Manager Zone 2,127407.02,52313.57,27979.78,0
Agriculture and Forestry,2017,"Director, TImber Prod Aud Rev",Senior Manager Zone 2,131082.12,0,9579.51,0
Agriculture and Forestry,2017,Dir.Industry & Workforce Devel,Senior Manager Zone 2,133317.86,0,30360.18,0
Agriculture and Forestry,2017,Section Lead,Engineering & Related Level 2,108254.64,0,21824.5,0
Agriculture and Forestry,2017,"Dir, Info. Management & Innov.",Senior Manager Zone 2,110000.54,0,29225.53,0
Agriculture and Forestry,2017,"Manager, Forest & Land Mgmt Tr",Manager Zone 2,107152.5,0,25550.79,0
Agriculture and Forestry,2017,Forest Area Manager,Senior Manager Zone 2,122964.12,0,28441.94,0
Agriculture and Forestry,2017,Forest Area Manager,Senior Manager Zone 2,110680.96,22563.92,6766.32,0
Agriculture and Forestry,2017,GIS Engineer,Engineering & Related Level 2,108254.64,0,22822.88,0
Agriculture and Forestry,2017,Forest Ecology Specialist,Scientific 4,119838.68,0,25099.75,0
Agriculture and Forestry,2017,Beef Research Scientist,Scientific 5,127099.86,0,25675.44,0
Agriculture and Forestry,2017,"Director, Safe Food Branch",Senior Manager Zone 2,123696.04,0,31742,0
Agriculture and Forestry,2017,"ED, Food Safety",Executive Manager 1,165221.83,0,39054.16,0
Agriculture and Forestry,2017,"Manager, Farm Safety",Manager Zone 2,107152.5,250,25273.64,0
Agriculture and Forestry,2017,Strategic Policy Advisor,Senior Manager Zone 1,112658.49,0,29291.75,0
Agriculture and Forestry,2017,"ED, Forest Management",Executive Manager 1,164060.78,0,39580.47,0
Agriculture and Forestry,2017,Water Quality Engineer,Engineering & Related Level 2,109587.05,0,23049.87,0
Agriculture and Forestry,2017,"Senior Manager, CIMD",Senior Manager Zone 2,123696.3,400,9519.88,0
Agriculture and Forestry,2017,"Scientist, Residue Chemist",Scientific 4,119838.68,0,25855.83,0
Agriculture and Forestry,2017,Associate General Manager,Manager Zone 2,107152.5,0,28360.35,0
Agriculture and Forestry,2017,Wildfire Science Co-ordinator,Scientific 4,119838.68,0,26467.37,0
Agriculture and Forestry,2017,Program Veterinarian,Veterinarian Level 2,111139.86,0,22658.28,0
Agriculture and Forestry,2017,Forest Area Manager,Senior Manager Zone 2,116388.74,5800,27249.5,0
Agriculture and Forestry,2017,Strategic Priorities Advisor,Manager Zone 2,107152.5,0,25273.63,0
Agriculture and Forestry,2017,"Director, Forest Prgm Mgmt",Senior Manager Zone 2,133317.86,0,33006.2,0
Agriculture and Forestry,2017,Forest Economic Analyst,Natural Resources 9,108125.4,27569.11,25472.73,0
